GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bulk_loader,com.aycap.kbb.bulk_loader.application_header,ApplicationHdController,0,18,0,0,0,4,0,4,0,4
bulk_loader,com.aycap.kbb.bulk_loader.application_header,ApplicationHdMapper,1,307,2,6,0,57,2,6,0,4
bulk_loader,com.aycap.kbb.bulk_loader.application_header,ApplicationHdService,3,41,1,1,0,9,1,4,0,4
bulk_loader,com.aycap.kbb.bulk_loader.util,Strings,0,30,1,3,0,5,1,4,0,3
bulk_loader,com.aycap.kbb.bulk_loader,Application,15,7,0,0,3,3,1,2,1,2
bulk_loader,com.aycap.kbb.bulk_loader.mapper,TextFileReader,0,9,0,0,0,2,0,1,0,1
bulk_loader,com.aycap.kbb.bulk_loader.mapper,TextFileReader.new Supplier() {...},3,38,0,0,1,3,0,2,0,2
